ZIP Code,Type,Common Cities,County
10473,Standard,Bronx,Bronx County
10474,Standard,Bronx,Bronx County
10475,Standard,Bronx,Bronx County
10499,Unique,Bronx,Bronx County
10501,Standard,Amawalk,Westchester County
10502,Standard,Ardsley,Westchester County
10503,PO Box,"Ardsley On Hudson, Ardsley Hdsn",Westchester County
10504,Standard,"Armonk, North Castle",Westchester County
10505,Standard,Baldwin Place,Westchester County
10506,Standard,Bedford,Westchester County
10507,Standard,Bedford Hills,Westchester County
10509,Standard,Brewster,Putnam County
10510,Standard,"Briarcliff Manor, Briarcliff, Scarborough",Westchester County
10511,Standard,Buchanan,Westchester County
10512,Standard,"Carmel, Kent Cliffs, Kent Lakes",Putnam County
10514,Standard,Chappaqua,Westchester County
10516,Standard,"Cold Spring, Nelsonville",Putnam County
10517,PO Box,Crompond,Westchester County
10518,Standard,Cross River,Westchester County
10519,PO Box,Croton Falls,Westchester County
10520,Standard,"Croton On Hudson, Croton Hdsn",Westchester County
10521,PO Box,"Croton On Hudson, Croton Hdsn, Crugers",Westchester County
10522,Standard,Dobbs Ferry,Westchester County
10523,Standard,Elmsford,Westchester County
10524,Standard,Garrison,Putnam County
10526,Standard,"Goldens Bridge, Goldens Brg",Westchester County
10527,Standard,"Granite Springs, Granite Spgs",Westchester County
10528,Standard,Harrison,Westchester County
10530,Standard,"Hartsdale, Scarsdale",Westchester County
10532,Standard,Hawthorne,Westchester County
10533,Standard,Irvington,Westchester County
10535,Standard,"Jefferson Valley, Jefferson Vly",Westchester County
10536,Standard,Katonah,Westchester County
10537,Standard,"Lake Peekskill, Lk Peekskill",Putnam County
10538,Standard,Larchmont,Westchester County
10540,PO Box,Lincolndale,Westchester County
10541,Standard,"Mahopac, Lake Lincolnd, Lake Lincolndale",Putnam County
10542,PO Box,Mahopac Falls,Putnam County
10543,Standard,Mamaroneck,Westchester County
10545,PO Box,Maryknoll,Westchester County
10546,Standard,Millwood,Westchester County
10547,Standard,Mohegan Lake,Westchester County
10548,Standard,Montrose,Westchester County
10549,Standard,"Mount Kisco, Bedford Corners, Bedford Cors",Westchester County
10550,Standard,Mount Vernon,Westchester County
10551,PO Box,Mount Vernon,Westchester County
10552,Standard,"Mount Vernon, Fleetwood",Westchester County
10553,Standard,Mount Vernon,Westchester County
10557,Unique,Mount Vernon,Westchester County
10558,Unique,Mount Vernon,Westchester County
10560,Standard,North Salem,Westchester County
10562,Standard,Ossining,Westchester County
10566,Standard,Peekskill,Westchester County
10567,Standard,"Cortlandt Manor, Cortlandt Mnr",Westchester County
10570,Standard,Pleasantville,Westchester County
10571,Unique,Pleasantville,Westchester County
10572,Unique,Pleasantville,Westchester County
10573,Standard,"Port Chester, Rye Brook",Westchester County
10576,Standard,Pound Ridge,Westchester County
